2MR	N	-0.336	0.0
2MR	H	 0.000	0.0
2MR	CA	-0.030	0.0
2MR	HA	 0.054	0.0
2MR	C	 0.650	0.0
2MR	CB	-0.102	0.0
2MR	HB2	 0.051	0.0
2MR	HB3	 0.051	0.0
2MR	CG	 0.033	0.0
2MR	HG2	 0.033	0.0
2MR	HG3	 0.033	0.0
2MR	CD	 0.035	0.0
2MR	HD2	 0.071	0.0
2MR	HD3	 0.071	0.0
2MR	NE	-0.330	0.0
2MR	HE	 0.321	0.0
2MR	CZ	 0.132	0.0
2MR	NH1	-0.117	0.0
2MR	CQ1	-0.323	0.0
2MR	HQ11	 0.152	0.0
2MR	HQ12	 0.152	0.0
2MR	HQ13	 0.152	0.0
2MR	HH1	 0.271	0.0
2MR	NH2	-0.117	0.0
2MR	CQ2	-0.323	0.0
2MR	HQ21	 0.152	0.0
2MR	HQ22	 0.152	0.0
2MR	HQ23	 0.152	0.0
2MR	HH2	 0.271	0.0
2MR	O	-0.564	0.0
